20061003	99991231	03064	AEJ
10101	99991231	94968	AEL
10101	99991231	26515	AET
10101	99991231	13934	AEX
10101	99991231	93915	AEX
10101	99991231	25369	AFE
10101	99991231	93065	AFF
10101	99991231	04827	AFJ
10101	99991231	04993	AFK
10101	99991231	26551	AFM
10101	99991231	54770	AFN
10101	99991231	53909	AFW
10101	99991231	14762	AGC
10101	99991231	25310	AGN
10101	99991231	12804	AGR
10101	99991231	03820	AGS
10101	99991231	26548	AHG
10101	99991231	13873	AHN
10101	99991231	25375	AHP
20000109	99991231	25348	AHP
10101	99991231	24044	AIA
10101	99991231	04828	AID
10101	99991231	04864	AIG
10101	99991231	14930	AIO
10101	99991231	94999	AIT
10101	99991231	03740	AIY
10101	99991231	53931	AIZ
10101	99991231	25518	AJC
10101	99991231	63853	AJG
10101	99991231	53175	AJO
10101	99991231	27517	AK15
10101	99991231	25708	AKA
10101	99991231	25715	AKA
10101	99991231	53870	AKH
10101	99991231	25503	AKN
10101	99991231	24015	AKO
10101	99991231	26542	AKP
10101	99991231	93773	AKQ
10101	99991231	14813	AKR
10101	99991231	25367	AKW
10101	99991231	14735	ALB
10101	99991231	12932	ALI
10101	99991231	53146	ALK
10101	99991231	93097	ALM
10101	99991231	03958	ALN
10101	99991231	94910	ALO
10101	99991231	23061	ALS
10101	99991231	24160	ALW
10101	99991231	63833	ALX
10101	99991231	25502	ALZ
10101	99991231	23047	AMA
10101	99991231	13870	AMG
10101	99991231	53989	AMM
10101	99991231	54816	AMN
10101	99991231	94989	AMW
10101	99991231	13871	ANB
19431128	19540204	26409	ANC
19540204	99991231	26451	ANC
10101	99991231	93846	AND
10101	99991231	94974	ANE
10101	99991231	26516	ANI
10101	99991231	14847	ANJ
10101	99991231	25308	ANN
10101	99991231	26644	ANV
10101	99991231	24001	ANW
10101	99991231	94975	ANW
10101	99991231	04850	AOH
10101	99991231	14736	AOO
10101	99991231	93067	APA
10101	99991231	93227	APC
10101	99991231	12830	APF
10101	99991231	12897	APF
10101	99991231	13701	APG
10101	99991231	94849	APN
10101	99991231	04837	APX
10101	99991231	53983	AQO
10101	99991231	54917	AQP
10101	99991231	53932	AQR
10101	99991231	27515	AQT
10101	99991231	03949	AQV
10101	99991231	54768	AQW
19751208	99991231	53915	ARA
10101	99991231	94889	ARB
10101	99991231	46405	ARC
10101	99991231	93991	ARG
10101	99991231	12953	ARM
10101	99991231	04808	ARR
10101	99991231	94790	ART
10101	99991231	04865	ARV
10101	99991231	53865	ASD
10101	99991231	93073	ASE
10101	99991231	03973	ASG
10101	99991231	54754	ASH
10101	99991231	93796	ASJ
10101	99991231	03912	ASL
10101	99991231	94224	AST
10101	99991231	54809	ASW
10101	99991231	94929	ASX
10101	99991231	27518	ATK
10101	99991231	13874	ATL
10101	99991231	03035	ATS
19990523	99991231	13958	ATT
10101	99991231	04825	ATW
10101	99991231	14946	ATY
10101	99991231	14605	AUG
10101	99991231	04901	AUH
10101	99991231	04902	AUM
10101	99991231	23224	AUN
10101	99991231	03892	AUO
19791201	19990523	13958	AUS
19990523	99991231	13904	AUS
10101	99991231	14897	AUW
10101	99991231	93797	AVC
10101	99991231	53933	AVK
10101	99991231	03812	AVL
10101	99991231	14777	AVP
10101	99991231	23191	AVX
10101	99991231	04903	AWG
10101	99991231	94190	AWH
19990831	99991231	27503	AWI
10101	99991231	53959	AWM
10101	99991231	04205	AWO
10101	99991231	04904	AXA
10101	99991231	14910	AXN
10101	99991231	63901	AXS
10101	99991231	04779	AYE
10101	99991231	13861	AYS
10101	99991231	53129	AZC
10101	99991231	46407	AZK
10101	99991231	94815	AZO
19951206	19980101	54772	B20
19871119	99991231	24119	B23
10101	99991231	93216	BAB
10101	99991231	13944	BAD
10101	99991231	14775	BAF
10101	99991231	13803	BAK
19500601	19790601	93721	BAL
19630101	19871119	24119	BAM
10101	99991231	54817	BAX
19981008	99991231	12971	BAZ
10101	99991231	54904	BBB
10101	99991231	93942	BBD
10101	99991231	94946	BBW
10101	99991231	53881	BCB
10101	99991231	23159	BCE
10101	99991231	12803	BCT
10101	99991231	26497	BCV
10101	99991231	94961	BDE
10101	99991231	14816	BDF
10101	99991231	03036	BDG
10101	99991231	14740	BDL
10101	99991231	94702	BDR
10101	99991231	14702	BED
10101	99991231	94871	BEH
10101	99991231	26615	BET
10101	99991231	04751	BFD
10101	99991231	24028	BFF
10101	99991231	24234	BFI
10101	99991231	23155	BFL
10101	99991231	13838	BFM
10101	99991231	04905	BFW
10101	99991231	03024	BGD
10101	99991231	13819	BGE
10101	99991231	53882	BGE
10101	99991231	04725	BGM
10101	99991231	14601	BGR
10101	99991231	14606	BGR
10101	99991231	23005	BGS
10101	99991231	23041	BGS
10101	99991231	14616	BHB
10101	99991231	94055	BHK
10101	99991231	13876	BHM
10101	99991231	14799	BID
10101	99991231	94793	BID
10101	99991231	94947	BIE
10101	99991231	23019	BIF
10101	99991231	26415	BIG
10101	99991231	23157	BIH
10101	99991231	63835	BIJ
10101	99991231	24033	BIL
10101	99991231	24011	BIS
19960621	99991231	04839	BIV
10101	99991231	13820	BIX
10101	99991231	03065	BJC
10101	99991231	93068	BJC
10101	99991231	14958	BJI
10101	99991231	04842	BJJ
10101	99991231	53145	BJN
10101	99991231	53988	BKB
10101	99991231	24130	BKE
10101	99991231	23036	BKF
10101	99991231	22501	BKH
10101	99991231	04853	BKL
10101	99991231	12982	BKS
10101	99991231	13704	BKT
10101	99991231	13726	BKT
10101	99991231	12818	BKV
10101	99991231	03872	BKW
10101	99991231	94902	BKX
10101	99991231	93128	BLD
10101	99991231	03859	BLF
10101	99991231	23158	BLH
10101	99991231	24217	BLI
10101	99991231	04783	BLM
10101	99991231	54760	BLM
10101	99991231	23225	BLU
10101	99991231	13802	BLV
10101	99991231	24180	BMC
10101	99991231	03893	BMG
10101	99991231	54831	BMI
10101	99991231	94700	BML
10101	99991231	03999	BMQ
10101	99991231	13897	BNA
10101	99991231	25312	BNF
10101	99991231	94185	BNO
10101	99991231	04906	BNW
10101	99991231	24212	BNY
10101	99991231	24131	BOI
10101	99991231	24267	BOK
10101	99991231	14739	BOS
10101	99991231	12809	BOW
20030327	99991231	03044	BPG
10101	99991231	24164	BPI
10101	99991231	53918	BPK
10101	99991231	12917	BPT
10101	99991231	53883	BQK
10101	99991231	11603	BQN
10101	99991231	53992	BQP
10101	99991231	94938	BRD
10101	99991231	14931	BRL
10101	99991231	12919	BRO
10101	99991231	27502	BRW
10101	99991231	12931	BRX
10101	99991231	21508	BSF
10101	99991231	94710	BSI
19421001	19990523	13904	BSM
10101	99991231	27401	BTI
10101	99991231	14815	BTL
10101	99991231	24135	BTM
10101	99991231	64705	BTP
10101	99991231	13970	BTR
10101	99991231	26533	BTT
10101	99991231	14742	BTV
19800519	19810701	14964	BUB
10101	99991231	14733	BUF
10101	99991231	23156	BUO
10101	99991231	23152	BUR
10101	99991231	04866	BUU
