10001	01A
10003	03A
10004	04A
10005	05A
10006	06A
10007	07A
10008	08A
10009	09A
10010	1B1
10011	1G4
10012	1N7
16429	6B0
10013	8F3
10014	A01
10015	A02
10016	A03
10017	A04
10018	A05
10019	A06
10020	A07
10021	A08
10022	A09
10024	A11
10025	A12
10026	A13
10027	A14
10028	A15
10029	A16
10030	A17
10031	A18
10032	A19
10033	A20
10034	A21
10035	A22
10036	A23
10037	A24
10038	A25
10039	A26
10040	A27
10041	A28
10042	A29
10043	A30
10044	A31
10047	A34
11828	A35
10049	A36
10050	A37
10051	A38
10052	A39
10053	A40
10054	A41
10055	A42
10056	A43
10058	A45
10059	A46
10060	A47
10061	A48
10062	A49
10063	A50
10064	A51
10065	A52
10066	A53
10067	A54
10069	A56
10070	A57
10071	A58
10072	A59
10074	A61
10075	A62
10076	A63
10078	A65
10079	A66
10080	A67
10082	A69
10083	A70
10084	A71
10085	A72
10086	A73
10087	A74
10088	A75
10089	A76
10090	A77
10091	A78
10092	A79
10093	A80
10094	A81
10095	A82
10096	A83
10097	A84
10098	A85
10100	A87
10102	A89
10103	A90
10104	A91
10105	A92
10106	A93
10107	A94
10108	A95
10109	A96
10110	A97
10111	A98
10112	A99
10113	AA1
10116	AA4
10117	AA5
16472	AA7
11381	AA8
10122	AAF
10135	ABE
10136	ABI
10139	ABL
10140	ABQ
10141	ABR
10146	ABY
10149	ACB
10154	ACK
10155	ACT
10157	ACV
10158	ACY
10165	ADK
10167	ADM
10170	ADQ
10171	ADS
16426	ADT
10172	ADW
10176	AED
10184	AET
10185	AEX
10189	AFF
10190	AFK
10191	AFO
10192	AFP
10194	AFW
10198	AGC
10204	AGN
10208	AGS
10215	AHD
10216	AHN
10219	AHT
10221	AIA
10222	AIB
10223	AID
10224	AIK
10225	AIN
10227	AIY
10228	AIZ
16489	AK1
16490	AK2
16505	AK3
16508	AK4
10237	AKB
10238	AKC
10241	AKI
10243	AKK
10245	AKN
10246	AKO
10247	AKP
10253	AL1
10254	AL2
10255	AL3
16423	AL4
16455	AL5
16497	AL6
10257	ALB
10259	ALE
10263	ALI
10266	ALM
10267	ALN
10268	ALO
10272	ALS
10275	ALW
10276	ALX
10278	ALZ
10279	AMA
10285	AMK
10288	AMN
10294	AMW
10297	ANA
10298	ANB
10299	ANC
10300	AND
10304	ANI
10307	ANN
10309	ANP
10313	ANV
10317	AOH
10322	AOO
10324	AOS
10325	APA
10327	APC
10329	APF
10330	APG
10333	APN
10336	APT
10337	APV
10344	AQY
10345	AR1
10346	AR2
10347	ARA
10348	ARB
10349	ARC
10351	ARE
10352	ARG
10361	ART
10363	ARV
10365	ARX
10372	ASE
10374	ASH
10378	ASL
10380	ASN
10383	ASQ
10385	AST
10388	ASX
10389	ASY
10393	ATE
10396	ATK
10397	ATL
10400	ATO
10404	ATS
10405	ATT
10406	ATU
10408	ATW
10409	ATY
10414	AUG
10416	AUK
10417	AUM
10418	AUN
10419	AUO
10423	AUS
16440	AUS
10424	AUW
10427	AUZ
10431	AVL
10433	AVO
10434	AVP
10436	AVW
10437	AVX
10439	AWK
10440	AWM
10442	AWX
10445	AXB
10449	AXN
10451	AXS
10454	AXV
10455	AXX
10460	AYS
10463	AZ1
10464	AZ2
10465	AZ3
16451	AZ4
16561	AZ5
10466	AZA
10469	AZO
10471	B19
10472	B21
10474	BAB
10476	BAD
10478	BAF
10821	BAL
10484	BAM
10487	BAR
10494	BBC
10495	BBF
10504	BBX
10508	BCB
10509	BCC
10511	BCE
10514	BCJ
10518	BCS
10519	BCT
10523	BDE
10524	BDG
10529	BDL
10535	BDR
10538	BDY
16473	BEC
10540	BED
10543	BEH
10551	BET
10556	BFB
10557	BFD
10558	BFF
10559	BFI
10560	BFK
10561	BFL
10562	BFM
10565	BFP
10567	BFR
10569	BFT
10572	BGD
10573	BGE
10577	BGM
10580	BGQ
10581	BGR
10582	BGS
10583	BGT
10589	BHB
10590	BHC
10599	BHM
10612	BIC
10613	BID
10614	BIE
10615	BIF
10616	BIG
10617	BIH
10620	BIL
10627	BIS
10629	BIX
10630	BJC
10631	BJI
10632	BJJ
10640	BKC
10641	BKE
10642	BKF
10643	BKG
10644	BKH
10647	BKL
10654	BKW
10655	BKX
10661	BLD
10663	BLF
10665	BLH
10666	BLI
10670	BLM
10676	BLV
10680	BMC
10683	BMG
10685	BMI
10687	BML
10692	BMX
10693	BNA
10697	BNF
10698	BNG
10701	BNL
10703	BNO
10713	BOI
10715	BOK
10721	BOS
10722	BOW
16521	BPI
10728	BPT
10731	BQK
10732	BQN
10735	BQV
10739	BRD
10741	BRG
10744	BRL
10747	BRO
10754	BRW
10756	BRY
10423	BSM
10763	BSM
10765	BSQ
10769	BSW
10770	BSZ
10775	BTI
10778	BTL
10779	BTM
10780	BTP
10781	BTR
10783	BTT
10785	BTV
10786	BTY
10792	BUF
10796	BUM
10800	BUR
10809	BVD
10811	BVO
10812	BVR
16390	BVU
10814	BVX
10815	BVY
10817	BWD
10819	BWG
10821	BWI
10823	BWM
10825	BWS
10828	BXC
10832	BXS
10834	BYA
10837	BYG
10838	BYH
10839	BYI
10844	BYW
10849	BZN
10852	BZS
10853	BZT
10857	C01
10858	C02
16517	CA6
10867	CAD
10868	CAE
10874	CAK
10879	CAR
10886	CBA
10888	CBE
10889	CBF
10892	CBK
10894	CBM
10910	CCR
10915	CCY
10917	CDB
10918	CDC
10921	CDH
10923	CDL
10924	CDN
10925	CDR
10926	CDV
10927	CDW
10928	CEA
10930	CEC
10933	CEF
10938	CEM
10945	CEU
10946	CEV
10947	CEW
10948	CEX
10949	CEY
10950	CEZ
10951	CFA
10958	CFT
10960	CFV
10961	CGA
10964	CGE
10965	CGF
10967	CGI
10975	CGS
10977	CGX
10979	CGZ
10980	CHA
10982	CHD
10986	CHI
10987	CHL
10990	CHO
10991	CHP
10994	CHS
10996	CHU
10999	CHZ
